P³eæ,Wiek,S.C.,EE,Student,Dochod,CzasGry,gatunekGry,Wydatki
M,25-40 lat,zareczony/zareczo,Szkola Srednia,Pracujacy,2000,10,MMORPG,1000
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,40,MOBA,1000
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,5000,2,STRATEGIE,50
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,2300,0.5,STRATEGIE,0
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,2800,35,MOBA,600
M,18-25 lat,w zwiazku malzenskim,Szkola Srednia,Pracujacy,3000,2,FPS,200
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,2000,6,RPG,200
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,1200,28,MMORPG,250
K,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,3000,10,MMORPG,2000
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,0,FPS,0
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,2000,15,FPS,500
K,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,1500,2,STRATEGIE,0
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,4000,14,RPG,1000
M,18-25 lat,kawaler/pan,Studia I stopnia,Pracujacy;Student,2800,16,RPG,500
M,25-40 lat,w zwiazku malzenskim,Studia magisterskie,Pracujacy,5000,10,STRATEGIE,500
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Pracujacy;Student,3500,10,SPORTOWE,200
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,20,MMORPG,50
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,2000,15,BATTLE ROYAL,30
K,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Student,3000,9,BATTLE ROYAL,100
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,1600,3,STRATEGIE,100
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,30,RPG,3000
